<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131205,120000,8657.0000000,8680.0000000,8621.1000000,8633.6000000,14398
20131205,130000,8633.8000000,8650.0000000,8607.7000000,8630.3000000,9509
20131205,140000,8631.3000000,8640.0000000,8570.4000000,8635.7000000,15691
20131205,150000,8635.2000000,8649.0000000,8600.0000000,8611.1000000,8211
20131205,160000,8611.5000000,8646.5000000,8601.0000000,8646.5000000,8007
20131205,170000,8642.4000000,8655.2000000,8539.7000000,8542.5000000,20025
20131205,180000,8546.1000000,8617.7000000,8536.2000000,8585.2000000,25840
20131205,190000,8582.2000000,8605.0000000,8557.1000000,8567.0000000,22799
20131206,110000,8594.9000000,8594.9000000,8466.4000000,8477.2000000,12563
20131206,120000,8475.0000000,8476.5000000,8422.0000000,8429.0000000,8767
20131206,130000,8430.0000000,8580.0000000,8421.2000000,8577.0000000,36313
20131206,140000,8579.9000000,8626.5000000,8579.2000000,8599.6000000,18180
20131206,150000,8599.4000000,8644.9000000,8598.7000000,8636.2000000,12935
20131206,160000,8630.4000000,8633.4000000,8599.7000000,8623.4000000,8858
20131206,170000,8625.0000000,8633.7000000,8593.0000000,8603.4000000,6509
20131206,180000,8605.6000000,8629.9000000,8567.2000000,8606.4000000,14581
20131206,190000,8608.6000000,8722.6000000,8602.3000000,8718.9000000,29259
20131209,110000,8730.0000000,8790.6000000,8718.0000000,8737.9000000,6209
20131209,120000,8738.0000000,8776.1000000,8721.2000000,8748.1000000,7436
20131209,130000,8745.1000000,8768.0000000,8650.0000000,8715.2000000,10918
20131209,140000,8716.8000000,8749.9000000,8716.8000000,8748.9000000,6245
20131209,150000,8747.9000000,8960.0000000,8745.0000000,8953.9000000,31577
20131209,160000,8953.9000000,9037.5000000,8948.0000000,8962.1000000,31206
20131209,170000,8961.0000000,8961.0000000,8911.6000000,8950.0000000,15073
20131209,180000,8950.0000000,8978.0000000,8924.1000000,8978.0000000,15408
20131209,190000,8976.2000000,9020.0000000,8950.0000000,9007.2000000,22309
20131210,110000,8993.0000000,9090.0000000,8952.0000000,9080.1000000,10167
20131210,120000,9083.9000000,9117.7000000,9080.7000000,9087.4000000,15911
20131210,130000,9087.6000000,9100.0000000,9050.0000000,9084.5000000,19658
20131210,140000,9084.5000000,9100.0000000,9067.7000000,9082.5000000,6994
20131210,150000,9083.1000000,9104.0000000,9075.9000000,9095.4000000,11882
20131210,160000,9095.4000000,9140.0000000,9095.0000000,9103.3000000,11762
20131210,170000,9103.3000000,9107.1000000,9070.0000000,9071.6000000,6266
